black blackness blacken	white
organization scheme system arrangement organisation	
cleft dissected analyze dissect analyse	synthesize
masquerade mask	
vouch guarantee	
vent blowhole	
docker loader	
function mapping represent map	
pucker gather tuck insert	
adventurer explorer	
teaser tormentor	
give dedicate commit devote consecrate	
skyrocket rocket	
butt ring bound edge molding abut march mete surround skirt borderline margin frame perimeter border	
snack nosh	
fax facsimile	
caricature impersonation imitation	
penetrate sound bottom fathom	
fright veneration revere awe fear dread concern care reverence	
commandment teaching	
coffeehouse cafe	
privy bath bathroom lavatory can john toilet	
hitchhike limp tour enlistment hobble check snag rub gimp catch thumb stay interference jerk preventative hindrance stop hitch halt buck arrest preventive	
rescuer savior saver saviour	
sentinel scout sentry lookout spotter watch picket	
compete vie contend	
bonnet hoodlum cowl thug hood cap punk goon tough	
nipper hook claw pincer	
revolution rotation	
warp wring tinge color colour twist strain twine falsify distort	
stage degree represent stagecoach phase level leg point present arrange	
sample try taste sampling	
salute toast drink assurance subscribe plight pledge	
grub chow eats mooch sponge chuck bum	
grinning grin smiling smile	
outlaw crook criminal felon	
depart deviate vary change motley alter	conform
stimulate raise conjure agitate evoke rousing touch shift excite shake invoke stir stirring arouse budge inspiration	
handkerchief hanky hankie	
snog snogging kiss	
crud filth skank	
exposure pic photograph photo shoot snap picture	
autonomy liberty	
vicinity neighbourhood locality neighborhood	
go belong	
hoover vacuum	
smithy formulate hammer forge work counterfeit invent spurt mould shape devise fashion fake mold form	
penetrate bottom diffuse dawn infiltrate riddle fathom click	
reveal name observe discovered break learn expose find detect strike distinguish see observed divulge discover hear ascertained key notice describe identify attain disclose unwrap	
reveal disclose telling telltale disclosure revealing break expose uncover unwrap divulge unveil discover revelation	concealing
substitution interchange convert rally replace substitute exchange change switch commute central	
detector sensor	
laziness sloth	
iniquity wickedness darkness injustice immorality dark evil	
defender guardian protector	
end destination goal finish	
sporting light sporty neat fair white clean blank fresh clear	dirty unclean
entree admission admittance access	
hulk loom whale heavyweight giant tower	
alteration adjustment limiting change modification qualifying	
trace accompany observe adopt comply succeed come pursue be survey follow watch	precede
over terminated complete close reason ended conclude resolve concluded	
cyberspace net internet	
progressively increasingly	
pitch agitate break lurch switch transformation transfer stir displacement reposition fracture change shifting sack fault dislodge budge wobble shimmy transmutation switching slip teddy shift tilt	
resonate vibrate	
possibility theory hypothesis	
quarrel scrap dispute	
cripple lame disabling crippling	
degraded degenerate dissipated degrade fast demean disgrace debauched libertine	
hermit lonesome only recluse solitary lonely lone alone sole	
admirably commendable	
excited hallucinating frantic delirious unrestrained mad	
channel canal duct	
restriction confinement limitation	
picnic sashay outing junket out excursion jaunt expedition	
u uranium	
forego forgo waive forfeited confiscate forfeit	claim
output production yield product	
niner nine club ix	
confuse veil vague isolated apart fog cloud mist hidden unknown unsung hide dark obscure blur obliterate	
snitch scab grass shit denounce stag betray rat fink shop ratting informing	
sleek slick silky silken	
make fudge fake cooked manipulate prepare fix falsify ready cook	raw
swede rutabaga	
illumination weak brightness twinkle perch illuminate ignite lightness sparkle clean short faint dismount scant idle loose fall wanton light promiscuous spark easy lite lightly tripping lightheaded alight lighting clear lighter	heavy dark extinguish
cancel erase delete edit	record
replace substitute exchange interchange	
betrayer informer chatter blab squealer rat blabber clack tattle	
department part subdivision segment division section incision	
avoidance dodging	
mobilize disperse broadcast diffuse circulate mobilise propagate circle distribute spread	
concession allow grant award assignment concede accord give cede allot yield	deny
voyeur peeper	
fawn crawl crawling cringe cower creeping grovel creep	
warmth wake passion ignite heat inflame rut heating hotness	coldness cool
imagine think guess suppose reckon	
merrily happily	unhappily sadly
hulk pillar loom tugboat tug column tower	
crooked crook asymmetrical stooped curve corrupt hunched	straight
erosion corrosion	
identify name make advert mention assignment cite constitute naming refer designation nominate key distinguish appoint appointment list describe diagnose discover call	
reclaim rejuvenate reform renew restore rectify regenerate	
step abuse mistreat	
investing investment	
shaky chill shudder throb shiver shivering trembling thrill	
pick pickaxe	
recoil ricochet bound spring rebound bounce	clear
make realise garner clear earn gain realize	
crumple crimp rumple crease rake bend furrow seam wrinkle crisp graze kris line fold	
dally woo court romance solicit flirt romanticism mash butterfly	
worm wriggling twist writhing wiggly squirm wriggle wrestle writhe	
restitution amends redress indemnity insurance damages	
enclose enter introduce tuck insert	
universal cosmopolitan general worldwide	particular
henchman partner collaborator confederate	
fish angled lean tilt tip weight slant angle	
mean intend substance imply signify meaning significance think import entail	
clap herald applaud acclaim spat hail	boo
whatsoever any whatever	
armament arming	disarming disarmament
smack shot snip savour twitch relish savor tweet nip clip pinch flavor tang coolness zest twinge squeeze flavour	
uplifting uplift	depress
roadblock barrier	
intent designing intention figure blueprint pattern aim plan design innovation conception purpose invention project	
rebate discount	
variety kind sort form	
abject scurvy miserable low	
kindred tribe clan kin folk	
fraction divide	multiply
realise envision visualise learn find control check assure meet date see figure visualize ascertain visit ensure understand determine image discover escort hear reckon project catch look interpret consider fancy encounter realize picture examine attend regard view insure experience witness watch	
link sum junction union connect juncture joint join unite	
seduce make score	
reviving restorative quicken renovate resuscitate resurrect renewing revive repair recreate animate	
sport sportsman	
shake stone rock sway tilt	
surpass outdo transcend exceed excel pass	
okay fine alright ok okey	
hoax fraud humbug	
finder spotter	
shine speculate contemplate mull ponder meditate reflect muse	
shy unsure uncertain timid	certain sure confident
celibate continent	
decrypt decipher decode	
installing installment initiation instalment facility installation induction	
retrograde retreat rehash regress	progress direct
make constitute work forge imprint spring mould shape organize organise mold form	
awe awed awful	
loot lolly cabbage sugar moolah dough shekels clams dinero lettuce scratch kale cole bread	
heroic expansive talkative grand	
tangle couple match felt matte checkmate mate snarl pair mat mated paired twin copulate	
wail whimper	
low blue depress lower gloomy down dismay depressed grim	
con see acquire ascertain memorize study learn read instruct take teach check memorise determine watch discover hear	
accessory auxiliary supplement	
chummy slurred dense thick compact deep stocky	thin
middleman wholesaler	
nigga nigger coon spade	
listener auditor	
unequal short inadequate poor	adequate
snog kiss	
confinement labour push proletariat toil fag grind drive undertaking labor dig task tug project	
bottom rump stern fanny tush ass posterior keister backside cheek butt buttock behind buttocks buns prat seat can rear tail arse bum	
release rout discharge oust expel eject exhaust	
hero sensation friend star champ booster wiz hotshot whizz defend adept genius champion fighter paladin whiz protagonist wizard superstar admirer ace supporter virtuoso	
grumbling growl rumble grumble rumbling	
highwayman hijacker	
scarlet cherry ruddy red redness ruby violent loss crimson flushed reddish carmine	gain
weighted burden slant angle weight	
concur coincide	
tug tugboat tower	
freak nut addict hook junky junkie	
chief foreman boss honcho gaffer knob stamp	
preserve continue uphold maintain	discontinue
lever jimmy prize pry	
antsy fidgety itchy	
multiply multiplex manifold	
undershirt vest	
tradition custom	
pointer arrow	
defeat licking overcome kill frustration	victory
free rid	
expectant heavy large great big	
particular finicky picky fussy	
speed run hasten hie rush race	linger
nativity birth	death
sol so	
office use part procedure mapping run work routine map occasion operate go serve purpose affair officiate function role	malfunction
undisputed unchallenged	
specter shadow apparition phantom spectre	
pillowcase slip case	
crooked hump hunched stooped hunch	
rap wham belt knock wallop whack	
pilot wing buffer fender	
bleep beep	
jump start startle	
repute report reputation	
deterrent handicap discipline break learn chip control check condition verification cheque assure retard see ascertain contain agree confirmation delay bridle train chit ensure correspond determine crack stay hold match tab fit checkout hindrance stop tally hitch tick curb halt moderate chink impediment insure checker arrest mark watch	disagree
familial transmitted hereditary genetic inherit inherited	
hugely enormously tremendously	
timber look tint tone tincture quality feel strengthen step chant flavor shade spirit feeling note smell flavour	
fundamentals basics bedrock	
monk monastic	
anteater echidna	
bring bestow add contribute lend impart loan	borrow
poking jabbing stab jab thrusting thrust prod dig poke	
lemon maize corn	
reduce centre center pore concentrate digest condense rivet focus contract	
lopsided cockeyed wonky awry askew	
fudge dodge hedge evade duck elude skirt parry escape circumvent	
uniting merger unification fusion	
loot swag bootie booty prize pillage plunder	
tick set grade pit pronounced commemorate marked differentiate brand tag denounce scar check notice note label mark score distinguish	unmarked ignore
artisan craftsman	
bedspread spread	
earshot see audience hearing listening audition learn listen try discover hear	
ubiquitous omnipresent	
snatch shot picnic rupture flick snap cinch breeze photograph tear snarl bust shoot cracking pushover grab elasticity click snapshot catch crack	
southerly southern	
fence surround wall	
sharp shrewd astute scheming conniving calculating	
tyke minor nipper fry youngster kid shaver child	
wizardry genius	
bar shun banish ban	
hero paladin champion fighter	
replica reproduction replication	
saxophone sax	
talker loudspeaker speaker	
anchor backbone keystone linchpin	
quest request	
impregnate tincture instill infuse steep	
air breeze zephyr	
see live know receive feel experience have get	
grab seize catch	
swerve curve swerving trend cut veer sheer slew	
deficiency inadequacy	
disassemble strip level dismantle raze	assemble raise
coal ember	
compensate correct redress cover pay repair recompense right	wrong
name summon advert acknowledgment credit mention quotation quote refer reference summons citation cite	
replenish refill	
conference league	
upwards up upward	downwards downward down
plumage plume feather	
exhibition exposition expo	
twain twosome dyad cross couplet couple duet pair bridge duo sweep span straddle yoke brace traverse	
fireman firefighter	
leaflet folder pamphlet booklet brochure	
balance remainder equilibrium correspondence residual poise residue symmetry rest proportion	imbalance
arras tapestry	
shootout gunfight	
severe ascetic stark austere stern spartan	
dizziness vertigo	
motion gesture	
darn damned goddamn goddamned goddam infernal blame darned blessed damn blasted blamed	
precipitate fly come hang flow savage strike pass vanish descend drop lessen cruel diminish barbarous fall return light vicious hide brutal decrease fell settle shine	rise ascend increase
begin commence get start	end
inferno blaze pit hellhole sin underworld hell netherworld perdition	
minute narrow	wide
burden agitate charged charge accuse file lodge saddle blame load level shoot send commit appoint point excite supercharged bill buck tear rouse	calm discharge
pretty banter jolly jovial reasonably chaff moderately josh gay somewhat kid merry fairly	
scallop cutlet	
jive swing	
slimy unworthy worthless ugly despicable wretched vile	valuable
sleeve arm	
treasured cherish cherished precious prize value wanted appreciate treasure	
haj hajj	
twinkle wink winkle blink flash	
vary deviate divert depart	conform
unleash loose	
circle leash roach lasso rope	
exemption immunity resistance	
flesh pulp mush	
shamed guilty	innocent
press agitate push vex agitated crusade charge shift shake disturb fight budge excite stir campaign rouse	calm
upright erect vertical raise rear	level
punch plug	
school educate prepare cultivate educated enlightened develop train	uneducated
shard fragment	
hooligan bully ruffian tough rowdy	
berth wharf moor	
recoil cringe shrink quail funk flinch	
pretender hypocrite phony phoney	
goad bite prick sting twinge	
sturdy uncompromising inflexible	compromising
confine jump restrain rebound bounce indentured border recoil ricochet oblige leaping spring attach adhere stick hold limit tie edge boundary bond bounds destined truss leap bandaged restrict bound throttle bind bandage	untie free
pier bob tail wharf sorrel dock	
ingest consume take assimilate absorb have	abstain
interrogation enquiry query inquiry research question	answer
conspire cabal conjure	
ripple babbling talk babble blab sing peach bubble tattle	
stitch stitching sewing tailor sew	
episode installment instalment sequence	
business occupation job line occupancy	
toon cartoon	
grumpy cross crabby fussy grouchy	
frenzy ferocity hysteria delirium craze violence fury madness wildness rage	
raise acquire farm produce rise big grown grownup grow turn originate mature develop adult arise get	
mat matte matt flat	
tight awful filthy foul nasty	nice
baptise christen christening baptize	
woodwork carpentry	
keepsake token relic item souvenir	
fashionable stylish	unfashionable
talks dialog negotiation dialogue	
purchase leverage	
skim skip vamoose skitter hop jump cut omission	
mortuary morgue	
draw appeal attract pull	repel
deduct withholding withhold recoup	
cancel scrub scratch scrubbed scour	
district partition zone	
shaky cockeyed rickety awry askew lopsided wobbly wonky	
seize assume usurp	
brooding pout stew pensive sulk loom hover hatch pondering cover dwell incubation meditative reflective brood	
shift budge stir agitate	
woolly muddled wooly muzzy	
equip tantrum agree set scene outfit match primed go fit check accommodate correspond burst meet suit tally	unfit disagree
severe terrible sinful disgusting loathsome revolting skanky arch repellent yucky distasteful unholy foul wicked mischievous	virtuous
spooky nervous skittish flighty	
pickup cartridge magazine	
look intent tone feel heart booze spirits liquor flavor life spirit feeling smell flavour	
undivided sole single exclusive scoop	inclusive
button clitoris	
loot strip comb foray pillage ransack rifle plunder	
adapt accommodate adjust conform	
exporting export	import
misdirection distraction	
encampment bivouac campsite campground	
piano softly soft	forte
hare rabbit coney	
imitation false simulated assume copy model faux feign imitate fake sham simulate	
craze cult rage fad	
spectator looker viewer watcher witness	
nerd dweeb grind	
coordinated interconnected unified	
cheat deceiver slicker trickster cheater	
softened cushion relent break soften moderate dampen muted mince dull muffled yield damp weaken buffer	harden stand sharpen
twain twosome dyad cross couplet couple duet pair bridge duo sweep span straddle yoke brace traverse	
locating position fix positioning placement location	studio
diligence coating lotion covering application	
vomiting puke sick barf vomit puking honk cast chuck purge cat spew	
unwind relax decompress	tense wind strain
heroic epic expansive grand desperate	
innocuous innocent	noxious
discredit disgraced dishonored damaged disgrace shamed discredited	believe
quest bay	
slingshot catapult sling	
snitch grass wander shit cuckold denounce stag betray cheat rat deceive shop sell fail	
mix mingle jumble unify	
sterling greatest	
compress press urgent conjure pressure pressing push agitate squeeze crusade urge beseech iron compact fight contract weigh campaign bid	
gravely severely badly seriously earnestly	
look face reflection manifestation aspect saying formula construction expression	
obscure sinister morose drab dismal moody coloured sorry blue dingy colored glum black dark gloomy dreary sullen sour dour grim	light
tone billet bill eminence distinction observe mention remark note notation notice mark line	ignore
coffeehouse cafe	
freeze suspended suspend	
frustrate blast torment crucify rag savage dun subdue	
wiz hotshot wizard superstar sensation whizz champion star genius adept ace whiz virtuoso	
retrace reconstruct redo reconstructed rebuild restore construct remodel	
operative shamus sherlock	
glittering bubbling frothy scintillating sparkly	
breathe utter emit	absorb
cake coat surface coating	
stud dot rivet	
bill airman aviator throwaway broadside flyer flier circular	
herewith hereby	
cent penny	
commune communicate	
dizzy woozy giddy lightheaded silly	
corporation pot tummy corp	
sulphur sec entropy s south second sulfur	
shiver shuddering thrill shudder throb	
archaeology archeology	
chaperone chaperon	
stop stopover layover	
drop dominate miss command neglect overlook omit	
sum agree match add tot check fit hit correspond total score tally	disagree
dishonour break dishonor outrage ravish assault spoil rape desecrate breach plunder offend profane violate	keep
allow grant award concede accord give cede allot yield	deny
mob family syndicate consortium pool	
chomp champ champion	
stately noble imposing formal	
obviously plainly patently evidently apparently plain	
intensify compound heighten deepen escalate	
betrayer informer traitor squealer rat blabber	
functioning run work operation operate go serve officiate performance function	malfunction malfunctioning
injury harm hurt trauma damage impairment	
unreadable unclear	clear
register lodge file charge	
clearly distinctly	
labor proletariat labour	
bite biting nipping barbed pungent bitter burn prick sting	
travel journey	
cant rely bank trust deposit swear	withdraw mistrust
gentleness softness	
desolate devastate pointless emaciated waste ware blow consume squander pinched diminished gaunt ravage haggard wasted bony neutralise languish superfluous senseless scourge rot liquidate squandered skeletal neutralize	conserve
straighten tidy	bend
curtain drape chill tire die scare mantle dash jade dull fatigue pall weary shroud	
agitation hullabaloo excitement turmoil upheaval	
pick pluck cull	
relieve ease alleviate moderation still easing facilitate relief comfort	
better improve improving amend up	worsen
grading scaling scale	
designation denomination	
northward north northbound	
spiel play patter	
cop nab arrest apprehend nail collar	
equation equality par	
hitch tour enlistment go circuit turn spell	
blot filth spot stigma soil grime brand smear dirt discoloration grunge defile grease tarnish mark sully stain	
cruelty ruthlessness harshness	
sympathy understanding	
hearty satisfy satisfying solid square comforting fulfill substantial cheering meet fulfil fill	
ding dong	
lead bring bestow add contribute lend give impart	
technical technological proficient expert	
beat stick puzzle vex gravel pose throw get amaze	
thirdly third	
shaft jockey screw cheat	
decorator designer	
fine fin ticket	
recourse refuge resort	
finesse delicacy diplomacy discretion dainty treat fragility goody	
tilt argument contention arguing controversy	
abrasion labour grate toil grind fag bray crunch attrition labor mash grinding dig	
inert slow soggy dull sulky sluggish	
supervising oversight supervision	
resist disapprove spurn refuse scorn disdain reject decline eliminate	accept approve admit
prick slit scratch dent section incision	
revel transport delighted enchant enjoy charmed entranced ravish captivated please enthralled delight	displease
oblige hold obliged accommodate compel bind	
saddle burden charge	
endanger menace endangerment jeopardise danger hazard expose peril risk jeopardy threaten jeopardize queer	
hypnotized fascinated spellbound mesmerized hypnotised hypnotize	
feisty mad sore huffy touchy	
thence therefore hence so consequently thus	
reduce diluted thin dilute cut load stretch	
pestering puzzle agitate infuriating get devil exasperating vex teasing worry stick beat annoying annoy vexing rag disturb irritate bothersome pose amaze irritating rile gravel nettle maddening bother pesky	reassure
brilliant superb	
welch welsh	
chevalier cavalier	
block pulley	
hark harken	
concealing hide conceal hiding concealment	revealing show
alternatively instead rather	
aligning align array coordinate positioning aline adjust	
skirmish encounter brush clash	
miniature toy illumination	
false fabricated fictional pretended fancied assumed fictitious sham	
allow permit grant reserve appropriate let countenance tolerate admit provide leave	prevent deny forbid
snitch grass shit denounce brand betray stag rat shop mark	
trace hunt hound run hunting search	
candy glazed glassy glass sugarcoat shiny glaze	
alleyway alley	
compress embrace gouge twitch tweet nip hug squeezing mash squelch extort squeeze stuff press coerce thrust squash shove force pressure hale twinge crush rack wring bosom pinch compact wedge contract	
fault blame pick rap charge	absolve
excitement ignition kindling redness inflammation fervour lighting fervor firing	
vow consecrate	
synchronize sync	
resonate vibrate	
corner tree	
concluding final end terminal last depot pole terminus	intermediate
square lame feather	
accommodation adjustment fitting	
caricature impersonation imitation	
conserve hold assert maintain uphold observe maintained retained defend preserve wield exert keep sustain	
amphibian amphibious	aquatic
lash eyelash	
britt brit	
blessing decorate adorn deck ornament embellish thanksgiving grace goodwill	
gleam glint shine sparkle glitter	
outgoing surpass outdo forthcoming exceed	incoming
cock rooster	
forbidding shun ban banning censor banish prohibition	
idling idleness loafing	
backup mount second stake patronage punt championship endorse backing gage game support back funding	veer front advance
odious abominable detestable	
scout scouting	
excitement turmoil upheaval agitation tumult hullabaloo	
tenacious longest long	short
pussy kitty puss pussycat	
werewolf wolfman	
environment surround surroundings	
entanglement web vane net network	
smooching cuddling caressing kissing necking snuggling pet hugging fondling petting	
player musician	
orchard plantation grove	
sensible sane fair reasonable	unreasonable
link affiliate connect associate consort relate	
depression imprint impression form impress	
definitely unquestionably decidedly emphatically	
holler grouse bitch beef crab squawk gripe bellyache crabs	
drinking salute booze toast boozing drink drunkenness pledge	
mire slop squish mush splash spill swill splatter treacle squelch	
prawn shrimp	
assume copy model feign imitate sham simulate	
functioning process operation performance surgery procedure	
robbery looting	
descendants posterity	
occupant resident	
consist lying dwell rest fabrication lie	arise stand
hamper halter cramp strangle	
fundamentally basically essentially	
recoil ricochet rally backlash bound spring rebound bounce	
except exclude omit	include
prime quality flower premier prize blossom flush meridian select bloom heyday ground choice peak	
hostilities enmity antagonism aggression hostility	
uneven spotty scratchy spotted patched	
put lay location side set position place placement situation posture berth spot locating pose attitude stance office lieu billet stead perspective view post positioning status	
buzz humming hum	
pestering mocking bait cod teasing bug tease annoying card pester rally vexing rag loosen bothersome taunt fluff twit irritating ride pesky badger	
address delicacy deal process dainty handle treat cover plow goody	
rowboat dinghy dory	
fish fishing angle	
whiff sniff sniffle	
frost ice frosted	
reveal endanger disclose break expose display uncover peril divulge unwrap discover queer exhibit	cover
person somebody someone individual mortal soul	
source writer generator author	
bout bust tear binge turn round	
spokesperson interpreter representative voice	
supplying provision ply render add cater provide furnish supply issue	demand recall
alfalfa lucerne	
bus omnibus coach heap jalopy	
dirty grime soil	clean
stimulate raise conjure agitate ado bustle evoke touch flurry hustle splash shift excite shake invoke arouse budge fuss stir	
fiddle monkey putter tinker potter	
spirited game spunky gritty grainy	
posterior bottom keister rear backside butt buns rump prat seat behind stern tail fanny buttocks can tush arse ass bum	
veil concealment hiding hide cover concealing obliterate shroud obscure conceal	show
hiss whoosh	
ace singles single unity one	
invaluable priceless	
linger lounge lurk loaf hover tarry loiter	rush
monkey scamp rogue imp rascal knave	
prefer favor favour choose opt	
beat press shell smash vanquish demolish jam oppress squash crunch suppress infatuation mash crush squelch squeeze	
hypothetical supposed	
lead aim gallery maneuver bearing guide steer drift header direct point head heading manoeuvre	
grind drudgery	
subvert degenerate abuse pervert deviate twist misuse corrupt deviant profane	
blackout amnesia	
irregularity abnormality	normality
distract deflect disorder trouble	
press conjure tender invite wish bidding dictation offer beseech play command call bid	
winter wintertime	
recession inlet respite break recess niche adjourn corner	
womanhood woman	
orb rotate revolve orbit roll	
dealer trader monger	
heart pump ticker	
pertain concerned touch refer interest implicated worry occupy interested concern relate	unconcerned
autographed autograph	
recount recite narrate tell	
bed crease furrow seam wrinkle line	
neutral impersonal	personal
snuggle nest cuddle	
hoagie grinder hero substitute sub bomber torpedo submarine wedge	
donor giver presenter	
insurgent guerrilla guerilla irregular	
oral viva unwritten	anal
